date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.000932,4.6000,4.6500,4.5000,4.6100,4.6100,35878166,163927205.8900,0.000000
2020-01-23,sz.000932,4.5400,4.5900,4.3800,4.4300,4.6100,44013273,197544224.7000,-3.904600
2020-02-03,sz.000932,3.9900,4.0400,3.9900,3.9900,4.4300,38423419,153554267.6900,-9.932300
2020-02-04,sz.000932,3.9200,4.0800,3.9200,4.0400,3.9900,52209090,209438154.5200,1.253100
2020-02-05,sz.000932,3.9900,4.1400,3.9800,4.0500,4.0400,56751316,230318182.3600,0.247500
2020-02-06,sz.000932,4.0600,4.0800,4.0000,4.0700,4.0500,60956316,246177362.0200,0.493800
2020-02-07,sz.000932,4.0500,4.0500,4.0100,4.0400,4.0700,43003916,173200571.9700,-0.737100
2020-02-10,sz.000932,4.0100,4.1900,3.9900,4.1600,4.0400,66253057,272015072.3500,2.970300
2020-02-11,sz.000932,4.1800,4.4400,4.1800,4.2200,4.1600,99229828,424927482.3500,1.442300
2020-02-12,sz.000932,4.1700,4.2300,4.1200,4.2300,4.2200,60027007,249952747.8300,0.237000
2020-02-13,sz.000932,4.1900,4.2500,4.1500,4.1500,4.2300,40810342,170843103.3200,-1.891300
2020-02-14,sz.000932,4.1400,4.2200,4.1200,4.1900,4.1500,46238404,192811027.5200,0.963900
2020-02-17,sz.000932,4.1700,4.2700,4.1600,4.2600,4.1900,64915901,273631543.9900,1.670600
2020-02-18,sz.000932,4.2400,4.2700,4.2100,4.2400,4.2600,50037010,211851619.6400,-0.469500
2020-02-19,sz.000932,4.2300,4.2600,4.1800,4.1900,4.2400,47440233,200220279.8100,-1.179200
2020-02-20,sz.000932,4.2200,4.2700,4.1700,4.2600,4.1900,69968013,294984893.5000,1.670600
2020-02-21,sz.000932,4.2400,4.2900,4.2100,4.2600,4.2600,76626003,325452125.8200,0.000000
2020-02-24,sz.000932,4.2200,4.2300,4.1300,4.1600,4.2600,78089558,326241992.5500,-2.347400
2020-02-25,sz.000932,4.0900,4.1000,4.0100,4.0700,4.1600,69870636,283809196.4100,-2.163500
2020-02-26,sz.000932,4.0300,4.1900,3.9900,4.1400,4.0700,88172584,363812371.8600,1.719900
2020-02-27,sz.000932,4.1300,4.1900,4.1000,4.1200,4.1400,48973660,202477937.2500,-0.483100
2020-02-28,sz.000932,4.0300,4.0700,3.9700,3.9700,4.1200,66977246,268828470.1900,-3.640800
2020-03-02,sz.000932,4.0000,4.2400,4.0000,4.2200,3.9700,124931017,520977078.2500,6.297200
2020-03-03,sz.000932,4.3000,4.3600,4.1600,4.1900,4.2200,102314744,432771923.1700,-0.710900
2020-03-04,sz.000932,4.1600,4.3200,4.1400,4.2900,4.1900,93170517,395431496.0800,2.386600
2020-03-05,sz.000932,4.3400,4.4400,4.3000,4.3800,4.2900,93905853,410655470.5800,2.097900
2020-03-06,sz.000932,4.3200,4.3400,4.2700,4.2800,4.3800,67693825,291197558.2900,-2.283100
2020-03-09,sz.000932,4.1900,4.2000,4.0900,4.1100,4.2800,69667553,287901198.2300,-3.972000
2020-03-10,sz.000932,4.0700,4.1800,4.0600,4.1800,4.1100,61034237,251580360.6600,1.703200
2020-03-11,sz.000932,4.1800,4.2000,4.1200,4.1200,4.1800,54836582,227580803.5400,-1.435400
2020-03-12,sz.000932,4.0700,4.1800,4.0500,4.1600,4.1200,54350446,223845663.2500,0.970900
2020-03-13,sz.000932,4.0300,4.1500,4.0000,4.1100,4.1600,49296056,200090642.1000,-1.201900
2020-03-16,sz.000932,4.1300,4.1400,3.9900,4.0200,4.1100,39729687,161580092.5100,-2.189800
2020-03-17,sz.000932,4.0200,4.0600,3.9400,4.0200,4.0200,36465977,145746560.1600,0.000000
2020-03-18,sz.000932,4.0400,4.1000,4.0000,4.0100,4.0200,38542018,156037492.9500,-0.248800
2020-03-19,sz.000932,3.9900,4.0500,3.9200,4.0100,4.0100,44912203,179042517.5500,0.000000
2020-03-20,sz.000932,4.0300,4.0400,3.9800,4.0000,4.0100,37347389,149550217.8100,-0.249400
2020-03-23,sz.000932,3.9400,3.9800,3.9100,3.9200,4.0000,30854637,121441571.9400,-2.000000
2020-03-24,sz.000932,3.9600,3.9800,3.9100,3.9500,3.9200,31380756,123836850.8700,0.765300
2020-03-25,sz.000932,4.0100,4.0200,3.9600,3.9900,3.9500,34759750,138472286.9500,1.012700
2020-03-26,sz.000932,3.9700,3.9700,3.9200,3.9300,3.9900,30486768,120255005.8000,-1.503800
2020-03-27,sz.000932,3.9600,4.0300,3.9300,3.9600,3.9300,44561751,177155397.5400,0.763400
2020-03-30,sz.000932,3.9300,3.9900,3.8900,3.9500,3.9600,46301203,181956455.1200,-0.252500
2020-03-31,sz.000932,3.9800,3.9900,3.9200,3.9300,3.9500,24710255,97563038.6100,-0.506300
2020-04-01,sz.000932,3.9400,3.9600,3.9100,3.9300,3.9300,28498163,112195926.0700,0.000000
2020-04-02,sz.000932,3.9000,3.9500,3.9000,3.9500,3.9300,23788270,93464693.2400,0.508900
2020-04-03,sz.000932,3.9400,3.9400,3.9100,3.9200,3.9500,22181018,87043017.5400,-0.759500
2020-04-07,sz.000932,3.9600,3.9900,3.9400,3.9700,3.9200,37378662,148139770.1600,1.275500
2020-04-08,sz.000932,3.9600,4.0200,3.9500,3.9800,3.9700,38618239,154107149.8900,0.251900
