date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sh.000003,256.4540,257.5820,253.4480,257.5200,257.2940,22699100,143762884.0000,0.087837
2020-01-23,sh.000003,256.8280,256.8280,246.4300,248.5790,257.5200,38809100,248732867.0000,-3.471963
2020-02-03,sh.000003,224.2080,225.8700,224.1810,224.3040,248.5790,49990000,299307856.0000,-9.765507
2020-02-04,sh.000003,214.2070,227.9720,214.2070,227.4590,224.3040,56179800,307386928.0000,1.406573
2020-02-05,sh.000003,227.6120,234.2300,227.3070,231.3270,227.4590,37650400,217085959.0000,1.700526
2020-02-06,sh.000003,231.5740,233.7860,230.0530,233.2000,231.3270,38849300,226501908.0000,0.809676
2020-02-07,sh.000003,233.5180,233.5180,230.8740,233.2480,233.2000,29929000,185835781.0000,0.020583
2020-02-10,sh.000003,232.6590,235.7610,231.3930,235.7610,233.2480,29398900,201135206.0000,1.077394
2020-02-11,sh.000003,235.5520,236.0700,234.7560,235.7320,235.7610,17915000,102327288.0000,-0.012301
2020-02-12,sh.000003,235.6630,237.5510,235.0980,237.4640,235.7320,18313900,116792985.0000,0.734733
2020-02-13,sh.000003,237.2390,237.4960,234.1250,235.2000,237.4640,18020500,117445393.0000,-0.953408
2020-02-14,sh.000003,234.8720,236.0340,234.5110,235.0740,235.2000,16859700,105221913.0000,-0.053571
2020-02-17,sh.000003,235.0960,240.3460,235.0960,240.1400,235.0740,28219500,145304303.0000,2.155066
2020-02-18,sh.000003,239.8600,240.8380,238.9850,240.3050,240.1400,22658000,122296175.0000,0.068710
2020-02-19,sh.000003,240.2350,240.8810,239.0510,239.4250,240.3050,19687700,109483756.0000,-0.366201
2020-02-20,sh.000003,239.5730,244.1460,239.1960,244.1050,239.4250,34483800,166345562.0000,1.954683
2020-02-21,sh.000003,243.9830,246.0400,243.2220,244.9060,244.1050,32063500,156280459.0000,0.328137
2020-02-24,sh.000003,245.0000,245.2140,243.0320,244.5120,244.9060,30205200,161878584.0000,-0.160878
2020-02-25,sh.000003,241.3030,242.9590,238.4020,242.5890,244.5120,40207200,234314170.0000,-0.786464
2020-02-26,sh.000003,240.8390,243.2080,239.4240,240.3000,242.5890,32618200,181766268.0000,-0.943571
2020-02-27,sh.000003,240.4890,242.3540,239.5070,239.6080,240.3000,22712100,156260604.0000,-0.287973
2020-02-28,sh.000003,236.8360,237.0770,230.7160,230.7260,239.6080,42766400,259479906.0000,-3.706888
2020-03-02,sh.000003,231.8480,238.3310,231.8480,238.0890,230.7260,31839100,206692962.0000,3.191231
2020-03-03,sh.000003,239.8470,241.1630,237.8590,238.5940,238.0890,33559500,178066054.0000,0.212106
2020-03-04,sh.000003,238.5640,240.0300,237.8930,240.0220,238.5940,23365300,116230819.0000,0.598506
2020-03-05,sh.000003,241.0770,243.6140,241.0160,243.5570,240.0220,35664400,186020998.0000,1.472782
2020-03-06,sh.000003,242.3850,243.4800,241.3620,243.0510,243.5570,22258900,108886235.0000,-0.207754
2020-03-09,sh.000003,241.3184,241.3184,237.1245,237.1997,243.0516,34964700,177944174.8000,-2.407678
2020-03-10,sh.000003,235.8282,238.6780,233.4632,237.8891,237.1997,35792100,194652810.9000,0.290641
2020-03-11,sh.000003,238.3580,238.9764,236.5231,237.4631,237.8891,24469400,103828413.3000,-0.179075
2020-03-12,sh.000003,237.0549,237.0549,232.5010,233.3032,237.4631,27597300,150227048.8000,-1.751809
2020-03-13,sh.000003,227.2717,231.8859,225.6992,229.3549,233.3032,41997200,214996987.0000,-1.692347
2020-03-16,sh.000003,230.2198,231.6002,224.0582,224.0622,229.3549,34052100,187814233.2000,-2.307646
2020-03-17,sh.000003,223.3193,225.8873,218.5489,222.9788,224.0622,32699600,170095618.1000,-0.483526
2020-03-18,sh.000003,223.8562,226.0923,220.8130,221.1306,222.9788,24484600,134000560.9000,-0.828868
2020-03-19,sh.000003,220.9914,221.0857,216.3858,220.0086,220.9449,32780100,167162159.8000,-0.423771
2020-03-20,sh.000003,220.9384,223.2548,220.5027,222.3326,220.0086,27847100,144907626.4000,1.056322
2020-03-23,sh.000003,220.4074,220.4074,214.9854,215.0003,222.3326,26087800,135165203.7000,-3.297897
2020-03-24,sh.000003,217.3331,219.1456,214.6410,217.2836,215.0003,21119700,135345434.2000,1.061999
2020-03-25,sh.000003,219.6327,222.0692,219.5172,220.5554,217.2836,20854100,128284705.7000,1.505774
2020-03-26,sh.000003,220.6206,220.6206,218.6560,219.0761,220.5554,14429400,77132942.7000,-0.670716
2020-03-27,sh.000003,219.9354,220.7001,218.9136,218.9136,219.0761,16579800,97918125.3000,-0.074175
2020-03-30,sh.000003,218.7835,218.7835,214.3450,215.1392,218.9136,20493500,106887050.8000,-1.724151
2020-03-31,sh.000003,215.4986,217.1892,215.0137,216.0040,215.1392,12783800,64280082.1000,0.401972
2020-04-01,sh.000003,215.9212,216.7556,214.6142,215.5843,216.0040,11325200,54425506.6000,-0.194302
2020-04-02,sh.000003,215.3329,216.8768,213.1325,216.8768,215.5843,14112600,75761014.2000,0.599533
2020-04-03,sh.000003,216.8622,217.3443,215.2256,216.0301,216.8768,11319100,55694270.2000,-0.390406
2020-04-07,sh.000003,217.6200,220.1202,217.6200,219.5765,216.0301,20976300,136217950.1000,1.641623
2020-04-08,sh.000003,219.0259,220.2670,218.5650,219.6972,219.5765,16080500,82595885.3000,0.054969
