date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.399301,175.3260,175.3380,175.3210,175.3380,175.3040,541117,54426131.0000,0.019395
2020-01-23,sz.399301,175.3600,175.4160,175.3430,175.4160,175.3380,345640,34481599.0000,0.044486
2020-02-03,sz.399301,175.6610,175.6830,175.6400,175.6710,175.4160,981560,96083560.0000,0.145369
2020-02-04,sz.399301,175.6930,175.6990,175.6920,175.6990,175.6710,390950,37801857.0000,0.015939
2020-02-05,sz.399301,175.7210,175.7210,175.6890,175.7030,175.6990,635384,61885961.0000,0.002277
2020-02-06,sz.399301,175.7260,175.7560,175.7260,175.7560,175.7030,953030,93088205.0000,0.030165
2020-02-07,sz.399301,175.7780,175.7810,175.7550,175.7610,175.7560,1739101,168798426.0000,0.002845
2020-02-10,sz.399301,175.8280,175.8500,175.8260,175.8490,175.7610,2732970,268593328.0000,0.050068
2020-02-11,sz.399301,175.8720,175.8870,175.8700,175.8860,175.8490,3757380,372723168.0000,0.021041
2020-02-12,sz.399301,175.9080,175.9240,175.9080,175.9240,175.8860,1025660,101804832.0000,0.021605
2020-02-13,sz.399301,175.9460,175.9460,175.9290,175.9360,175.9240,1117240,108172767.0000,0.006821
2020-02-14,sz.399301,175.9590,175.9600,175.9530,175.9560,175.9360,1053336,99773027.0000,0.011368
2020-02-17,sz.399301,176.0230,176.0360,176.0080,176.0300,175.9560,1632550,157461588.0000,0.042056
2020-02-18,sz.399301,176.0520,176.0620,176.0500,176.0620,176.0300,1695472,164428262.0000,0.018179
2020-02-19,sz.399301,176.0850,176.0970,176.0790,176.0940,176.0620,2349851,233486299.0000,0.018175
2020-02-20,sz.399301,176.1160,176.1470,176.1160,176.1470,176.0940,3037467,301247040.0000,0.030098
2020-02-21,sz.399301,176.1690,176.1690,176.1540,176.1620,176.1470,1984414,188707950.0000,0.008516
2020-02-24,sz.399301,176.2290,176.2290,176.1690,176.1880,176.1620,532110,49271881.0000,0.014759
2020-02-25,sz.399301,176.2110,176.2110,176.1790,176.1920,176.1880,1688529,161578583.0000,0.002270
2020-02-26,sz.399301,176.2140,176.2150,176.2000,176.2120,176.1920,1312950,130139305.0000,0.011351
2020-02-27,sz.399301,176.2340,176.2630,176.2320,176.2630,176.2120,1822570,176430129.0000,0.028942
2020-02-28,sz.399301,176.2850,176.2990,176.2820,176.2990,176.2630,2187580,212066722.0000,0.020424
2020-03-02,sz.399301,176.3440,176.3710,176.3250,176.3700,176.2990,6569056,651992560.0000,0.040272
2020-03-03,sz.399301,176.3920,176.4140,176.3860,176.3930,176.3700,5253870,526063232.0000,0.013041
2020-03-04,sz.399301,176.4160,176.4360,176.4120,176.4360,176.3930,1050338,98737775.0000,0.024377
2020-03-05,sz.399301,176.4580,176.4830,176.4510,176.4690,176.4360,1641674,163205104.0000,0.018704
2020-03-06,sz.399301,176.4910,176.5200,176.4800,176.5200,176.4690,1809634,176683902.0000,0.028900
2020-03-09,sz.399301,176.5875,176.5906,176.5625,176.5845,176.5207,1994660,187311073.2900,0.036143
2020-03-10,sz.399301,176.6068,176.6624,176.6051,176.6615,176.5845,909640,89589288.1500,0.043605
2020-03-11,sz.399301,176.6838,176.6838,176.6568,176.6750,176.6615,1052980,98897063.1200,0.007642
2020-03-12,sz.399301,176.6973,176.6998,176.6729,176.6810,176.6750,495740,48730585.9400,0.003396
2020-03-13,sz.399301,176.7033,176.7388,176.6969,176.7079,176.6926,1376770,134762213.5600,0.008659
2020-03-16,sz.399301,176.7748,176.7873,176.7727,176.7827,176.7079,343890,33724013.2900,0.042330
2020-03-17,sz.399301,176.8050,176.8181,176.7793,176.7872,176.7827,731883,71434164.2000,0.002545
2020-03-18,sz.399301,176.8095,176.8476,176.8095,176.8375,176.7810,929790,90423597.5300,0.031960
2020-03-19,sz.399301,176.8613,176.8613,176.8230,176.8430,176.8390,1078929,106538223.8900,0.002262
2020-03-20,sz.399301,176.8653,176.8767,176.8626,176.8763,176.8430,1206620,118208501.3800,0.018830
2020-03-23,sz.399301,176.9432,176.9465,176.9325,176.9463,176.8763,1497799,149645099.6530,0.039576
2020-03-24,sz.399301,176.9640,176.9855,176.9585,176.9694,176.9463,957090,95326416.7400,0.013055
2020-03-25,sz.399301,176.9917,177.0241,176.9698,177.0220,176.9694,1125090,114277604.6200,0.029723
2020-03-26,sz.399301,177.0443,177.0650,177.0442,177.0623,177.0220,839090,83568272.4800,0.022766
2020-03-27,sz.399301,177.0846,177.1008,177.0768,177.0868,177.0623,1404960,141646971.7100,0.013837
2020-03-30,sz.399301,177.1538,177.1633,177.1443,177.1482,177.0868,213580,20932340.8900,0.034672
2020-03-31,sz.399301,177.1705,177.1867,177.1702,177.1867,177.1482,641761,63129915.7500,0.021733
2020-04-01,sz.399301,177.2087,177.2547,177.2057,177.2370,177.1867,2988011,297929877.7090,0.028388
2020-04-02,sz.399301,177.2590,177.2885,177.2349,177.2663,177.2370,1226775,122367845.0200,0.016532
2020-04-03,sz.399301,177.2883,177.2924,177.2805,177.2874,177.2663,1010751,100913262.1210,0.011903
2020-04-07,sz.399301,177.3659,177.3856,177.3657,177.3812,177.2874,2240161,228086081.1340,0.052908
2020-04-08,sz.399301,177.4025,177.4102,177.3914,177.4102,177.3812,4347712,428967567.6000,0.016349
