date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.000925,7.0600,7.2300,6.9000,7.2000,7.1500,10089690,71121347.2000,0.699300
2020-01-23,sz.000925,7.1200,7.4500,7.0800,7.2500,7.2000,18295838,132946619.5300,0.694400
2020-02-03,sz.000925,6.5500,6.7500,6.5300,6.5300,7.2500,16088902,105771738.1000,-9.931000
2020-02-04,sz.000925,6.4000,7.1800,6.4000,7.1800,6.5300,22147979,153991325.5000,9.954100
2020-02-05,sz.000925,7.2600,7.7400,7.1900,7.5600,7.1800,29768789,223885482.5500,5.292500
2020-02-06,sz.000925,7.5200,7.8400,7.4100,7.6800,7.5600,30029379,230602609.1300,1.587300
2020-02-07,sz.000925,7.6400,8.3800,7.4900,8.2100,7.6800,34102382,272342328.8800,6.901000
2020-02-10,sz.000925,8.1000,8.3300,7.8500,8.0500,8.2100,25744242,206562132.2800,-1.948800
2020-02-11,sz.000925,7.9200,8.1400,7.6300,7.7500,8.0500,21900934,171435755.2500,-3.726700
2020-02-12,sz.000925,7.7600,8.0500,7.7100,7.8300,7.7500,21344897,167770625.8100,1.032300
2020-02-13,sz.000925,7.8000,8.2900,7.7100,8.2300,7.8300,33661605,271869496.0300,5.108600
2020-02-14,sz.000925,8.1000,8.2400,7.8700,8.0200,8.2300,25122276,202962169.0600,-2.551600
2020-02-17,sz.000925,8.0400,8.5800,7.9100,8.5000,8.0200,30779803,256408567.9400,5.985000
2020-02-18,sz.000925,8.4000,8.5100,8.3000,8.4900,8.5000,23921017,201075129.8400,-0.117600
2020-02-19,sz.000925,8.4100,8.4800,8.1700,8.3400,8.4900,22907695,190204463.8000,-1.766800
2020-02-20,sz.000925,8.3300,8.3500,8.0400,8.3300,8.3400,21857272,179389513.0200,-0.119900
2020-02-21,sz.000925,8.2300,8.6400,8.2100,8.4000,8.3300,27906365,236685874.7100,0.840300
2020-02-24,sz.000925,8.3000,8.5600,8.2300,8.4100,8.4000,22833236,191370614.1700,0.119100
2020-02-25,sz.000925,8.0500,8.2000,7.8500,8.1500,8.4100,22526667,182340162.9300,-3.091600
2020-02-26,sz.000925,8.0200,8.8000,7.9200,8.4700,8.1500,37789857,319995466.0400,3.926400
2020-02-27,sz.000925,8.5600,8.6800,8.1000,8.2400,8.4700,23263882,192956517.4100,-2.715500
2020-02-28,sz.000925,7.6600,8.0500,7.5500,7.6200,8.2400,19912747,155883578.3000,-7.524300
2020-03-02,sz.000925,7.7600,8.1300,7.7100,8.0500,7.6200,15160890,120682461.5000,5.643000
2020-03-03,sz.000925,8.2800,8.3800,8.0200,8.1000,8.0500,17950470,147529770.8600,0.621100
2020-03-04,sz.000925,8.0000,8.2600,7.9500,8.1500,8.1000,11736985,95134903.9900,0.617300
2020-03-05,sz.000925,8.4000,8.5400,8.2900,8.3800,8.1500,22763940,190847600.5900,2.822100
2020-03-06,sz.000925,8.3000,8.8500,8.2100,8.6200,8.3800,33625149,290704901.3900,2.864000
2020-03-09,sz.000925,8.4800,9.1400,8.4800,8.8400,8.6200,46855241,415977335.7100,2.552200
2020-03-10,sz.000925,8.6800,9.7200,8.3800,9.5000,8.8400,48437946,438306942.3400,7.466100
2020-03-11,sz.000925,9.4500,9.5800,9.1300,9.2100,9.5000,34082240,317873621.1500,-3.052600
2020-03-12,sz.000925,9.1000,9.3300,9.0100,9.2400,9.2100,25779485,236809891.0800,0.325700
2020-03-13,sz.000925,8.6900,9.1500,8.6900,8.9400,9.2400,26308884,235295467.9400,-3.246800
2020-03-16,sz.000925,9.0400,9.1000,8.0500,8.1100,8.9400,29709095,254719180.1500,-9.284100
2020-03-17,sz.000925,8.2000,8.3100,7.7000,8.1200,8.1100,18879761,152685038.6500,0.123300
2020-03-18,sz.000925,8.2500,8.3400,7.6000,7.6600,8.1200,26063772,208662859.0400,-5.665000
2020-03-19,sz.000925,7.7000,7.9000,7.4600,7.7600,7.6600,18207445,139403350.5400,1.305500
2020-03-20,sz.000925,7.8500,7.9100,7.7300,7.9000,7.7600,12562377,98317415.4300,1.804100
2020-03-23,sz.000925,7.6500,7.7900,7.2700,7.3800,7.9000,14096931,106852413.2400,-6.582300
2020-03-24,sz.000925,7.5200,7.6300,7.2800,7.5600,7.3800,11599344,86912046.5900,2.439000
2020-03-25,sz.000925,7.7500,7.8800,7.6700,7.8600,7.5600,14906846,116018525.9400,3.968300
2020-03-26,sz.000925,7.7800,7.8100,7.5500,7.6000,7.8600,10679581,82097113.4500,-3.307900
2020-03-27,sz.000925,7.7700,8.2900,7.7700,7.9700,7.6000,21519899,173104502.2500,4.868400
2020-03-30,sz.000925,7.9300,8.2400,7.8600,8.1700,7.9700,20087198,162162194.9800,2.509400
2020-03-31,sz.000925,8.1400,8.5000,8.1100,8.2000,8.1700,17615371,145865118.9600,0.367200
2020-04-01,sz.000925,8.1700,8.3500,8.0600,8.0600,8.2000,13419098,109705336.3100,-1.707300
2020-04-02,sz.000925,8.0300,8.2800,7.9700,8.2800,8.0600,11155203,90877503.3300,2.729500
2020-04-03,sz.000925,8.3500,8.5600,8.2300,8.3000,8.2800,16155555,135318483.1200,0.241600
2020-04-07,sz.000925,8.4100,8.6400,8.3400,8.6100,8.3000,16412831,139843552.4800,3.734900
2020-04-08,sz.000925,8.5300,8.7000,8.4900,8.5500,8.6100,13545651,116376601.9000,-0.696900
