date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.000919,7.7800,7.8200,7.5200,7.5900,7.7300,6730231,51204919.3200,-1.811100
2020-01-23,sz.000919,7.4300,7.4300,7.1900,7.2500,7.5900,8586845,62626328.7600,-4.479600
2020-02-03,sz.000919,6.9000,6.9900,6.5800,6.8100,7.2500,8206869,56028780.7300,-6.069000
2020-02-04,sz.000919,6.8800,7.3800,6.8600,7.2900,6.8100,9857365,70407839.6300,7.048500
2020-02-05,sz.000919,7.5300,7.8000,7.4000,7.8000,7.2900,14994114,113679609.7200,6.995900
2020-02-06,sz.000919,8.0500,8.5800,7.8500,8.5800,7.8000,30296016,254641396.7200,10.000000
2020-02-07,sz.000919,8.7800,9.2500,8.1800,8.2300,8.5800,32315350,281679857.7400,-4.079300
2020-02-10,sz.000919,8.3500,8.3700,7.6600,7.7900,8.2300,19618519,154938297.6100,-5.346300
2020-02-11,sz.000919,7.7000,7.7000,7.3800,7.5500,7.7900,14253593,107216624.7100,-3.080900
2020-02-12,sz.000919,7.5200,7.6400,7.4600,7.6100,7.5500,7996735,60488558.3200,0.794700
2020-02-13,sz.000919,7.6000,7.9500,7.4100,7.8100,7.6100,10962360,83784478.7300,2.628100
2020-02-14,sz.000919,7.8000,7.8400,7.6200,7.7500,7.8100,9186913,71025389.2700,-0.768200
2020-02-17,sz.000919,7.8700,7.8800,7.7100,7.8200,7.7500,9597201,74743087.0300,0.903200
2020-02-18,sz.000919,8.5000,8.5000,8.0600,8.1000,7.8200,22604925,186631017.0900,3.580600
2020-02-19,sz.000919,8.1700,8.6700,8.0100,8.5900,8.1000,26532084,222707413.2500,6.049400
2020-02-20,sz.000919,8.4600,8.4600,8.1100,8.3000,8.5900,17382846,143629376.6000,-3.376000
2020-02-21,sz.000919,8.2500,8.3000,8.1000,8.2100,8.3000,9630112,78934965.8400,-1.084300
2020-02-24,sz.000919,8.2200,8.3400,8.0600,8.2100,8.2100,8045380,65934047.2200,0.000000
2020-02-25,sz.000919,8.0700,8.2900,7.9800,8.1600,8.2100,10268057,83554830.7600,-0.609000
2020-02-26,sz.000919,8.0200,8.0800,7.8800,7.9000,8.1600,9677401,77106894.8900,-3.186300
2020-02-27,sz.000919,7.8900,7.9500,7.7600,7.8000,7.9000,6267615,49129800.3700,-1.265800
2020-02-28,sz.000919,7.6700,7.7800,7.5000,7.5400,7.8000,6434498,48994530.4500,-3.333300
2020-03-02,sz.000919,7.5700,7.7300,7.5700,7.7000,7.5400,5158700,39559831.0000,2.122000
2020-03-03,sz.000919,7.7400,7.7900,7.6500,7.7100,7.7000,6120613,47243736.9800,0.129900
2020-03-04,sz.000919,7.6700,7.6800,7.4700,7.5800,7.7100,7991106,60444123.3600,-1.686100
2020-03-05,sz.000919,7.6300,7.7000,7.6100,7.6900,7.5800,7243752,55564121.7900,1.451200
2020-03-06,sz.000919,7.6500,7.7800,7.6000,7.7300,7.6900,6549100,50561344.9900,0.520200
2020-03-09,sz.000919,7.6900,7.8500,7.6000,7.7700,7.7300,8571152,66193162.2400,0.517500
2020-03-10,sz.000919,7.6000,7.7100,7.4700,7.6400,7.7700,7902113,59834644.1300,-1.673100
2020-03-11,sz.000919,7.6600,7.6600,7.5800,7.5800,7.6400,4393232,33503840.2000,-0.785300
2020-03-12,sz.000919,7.5500,7.5700,7.3000,7.3100,7.5800,6312277,46721720.1000,-3.562000
2020-03-13,sz.000919,7.0200,7.1900,6.9400,7.1400,7.3100,5159941,36555233.9200,-2.325600
2020-03-16,sz.000919,7.2200,7.3900,7.0500,7.0900,7.1400,5713400,41471494.0000,-0.700300
2020-03-17,sz.000919,7.0700,7.1500,6.7900,7.0200,7.0900,3813342,26558322.7000,-0.987300
2020-03-18,sz.000919,7.0900,7.1300,6.9300,6.9300,7.0200,3199600,22544221.0000,-1.282100
2020-03-19,sz.000919,6.9300,6.9800,6.7800,6.9500,6.9300,2954500,20374444.0000,0.288600
2020-03-20,sz.000919,7.0800,7.4100,7.0600,7.4000,6.9500,8364490,60648819.1100,6.474800
2020-03-23,sz.000919,7.2500,7.4400,7.1500,7.1500,7.4000,6375000,46481069.0000,-3.378400
2020-03-24,sz.000919,7.2400,7.2800,7.0000,7.1700,7.1500,4402600,31466444.0000,0.279700
2020-03-25,sz.000919,7.2500,7.3400,7.1900,7.2900,7.1700,4160800,30248081.0000,1.673600
2020-03-26,sz.000919,7.2900,7.3800,7.2200,7.3600,7.2900,4898949,35897658.8100,0.960200
2020-03-27,sz.000919,7.3700,7.3900,7.2200,7.2300,7.3600,4023846,29366819.6800,-1.766300
2020-03-30,sz.000919,7.1900,7.2000,7.0600,7.1000,7.2300,2724351,19429111.0800,-1.798100
2020-03-31,sz.000919,7.1400,7.1700,7.0500,7.0600,7.1000,2363800,16778454.0000,-0.563400
2020-04-01,sz.000919,7.0300,7.0700,6.9200,6.9300,7.0600,2370101,16603345.9600,-1.841400
2020-04-02,sz.000919,6.9100,6.9900,6.8600,6.9900,6.9300,1793681,12411000.5700,0.865800
2020-04-03,sz.000919,7.0000,7.0200,6.9000,7.0100,6.9900,1769750,12369734.5000,0.286100
2020-04-07,sz.000919,7.0600,7.1500,7.0500,7.1300,7.0100,3312592,23518886.0400,1.711800
2020-04-08,sz.000919,7.1000,7.2500,7.0800,7.1900,7.1300,3462635,24842904.6800,0.841500
