date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.000903,2.7500,2.7800,2.7000,2.7500,2.7500,13857742,38043875.9800,0.000000
2020-01-23,sz.000903,2.7400,2.7400,2.6300,2.6600,2.7500,13571160,36462574.8000,-3.272700
2020-02-03,sz.000903,2.3900,2.4300,2.3900,2.3900,2.6600,18289800,43776365.9600,-10.150400
2020-02-04,sz.000903,2.3600,2.4500,2.3400,2.4200,2.3900,14389273,34622671.0500,1.255200
2020-02-05,sz.000903,2.4200,2.4800,2.4000,2.4200,2.4200,14282072,34765896.2000,0.000000
2020-02-06,sz.000903,2.4300,2.4700,2.4100,2.4600,2.4200,11658632,28384470.7600,1.652900
2020-02-07,sz.000903,2.4400,2.5600,2.4200,2.5300,2.4600,13609952,34056736.6800,2.845500
2020-02-10,sz.000903,2.5400,2.5400,2.5000,2.5200,2.5300,11676040,29425077.4400,-0.395300
2020-02-11,sz.000903,2.5300,2.6500,2.5200,2.6100,2.5200,20868394,54196254.4400,3.571400
2020-02-12,sz.000903,2.6200,2.6900,2.6100,2.6300,2.6100,10794624,28425204.1200,0.766300
2020-02-13,sz.000903,2.6100,2.6200,2.5300,2.5400,2.6300,13611091,34978840.1400,-3.422100
2020-02-14,sz.000903,2.5000,2.5600,2.5000,2.5400,2.5400,6497796,16520656.8400,0.000000
2020-02-17,sz.000903,2.5500,2.5900,2.5200,2.5900,2.5400,11485401,29521687.3800,1.968500
2020-02-18,sz.000903,2.5800,2.6100,2.5600,2.5900,2.5900,9341515,24098915.8400,0.000000
2020-02-19,sz.000903,2.5900,2.6000,2.5600,2.5700,2.5900,7895574,20399002.2600,-0.772200
2020-02-20,sz.000903,2.5900,2.6700,2.5900,2.6400,2.5700,17745580,46599076.6000,2.723700
2020-02-21,sz.000903,2.6200,2.6500,2.6100,2.6400,2.6400,13779232,36237266.2600,0.000000
2020-02-24,sz.000903,2.6300,2.7000,2.6100,2.6700,2.6400,18800276,49797692.6000,1.136400
2020-02-25,sz.000903,2.6000,2.6700,2.5600,2.6700,2.6700,23454268,61425401.2800,0.000000
2020-02-26,sz.000903,2.6400,2.8900,2.6200,2.7800,2.6700,48094299,133362489.3900,4.119800
2020-02-27,sz.000903,2.7700,3.0500,2.7600,2.9400,2.7800,79799514,234883584.9900,5.755400
2020-02-28,sz.000903,2.8300,2.9300,2.7200,2.7400,2.9400,43772009,123343477.2000,-6.802700
2020-03-02,sz.000903,2.7800,2.9100,2.7800,2.8700,2.7400,28915647,82319851.2700,4.744500
2020-03-03,sz.000903,2.9500,2.9500,2.8400,2.8900,2.8700,25703573,74347829.8900,0.696900
2020-03-04,sz.000903,2.9000,2.9000,2.8300,2.8800,2.8900,16285228,46667401.6800,-0.346000
2020-03-05,sz.000903,2.9200,2.9500,2.8800,2.9200,2.8800,20217268,58868204.8800,1.388900
2020-03-06,sz.000903,2.8900,3.0800,2.8800,3.0200,2.9200,43339085,130242643.3900,3.424700
2020-03-09,sz.000903,3.0000,3.3200,2.9700,3.3200,3.0200,109360954,358922564.6500,9.933800
2020-03-10,sz.000903,3.4600,3.6500,3.4500,3.6500,3.3200,62495192,224711380.6200,9.939800
2020-03-11,sz.000903,4.0200,4.0200,4.0200,4.0200,3.6500,19716214,79259180.2800,10.137000
2020-03-12,sz.000903,4.4200,4.4200,3.8200,4.2300,4.0200,405235776,1714274948.5500,5.223900
2020-03-13,sz.000903,3.8100,3.9800,3.8100,3.8100,4.2300,250854021,960274086.2400,-9.929100
2020-03-16,sz.000903,3.6200,3.7400,3.4300,3.4300,3.8100,124303625,437742428.1800,-9.973800
2020-03-17,sz.000903,3.3900,3.7700,3.1200,3.6400,3.4300,166800435,562621187.4800,6.122500
2020-03-18,sz.000903,3.5300,3.8300,3.5200,3.6300,3.6400,134917698,493632619.2200,-0.274700
2020-03-19,sz.000903,3.7400,3.8900,3.6400,3.8600,3.6300,125439565,475085096.2400,6.336100
2020-03-20,sz.000903,3.9000,3.9000,3.4700,3.5600,3.8600,116454650,432440438.2800,-7.772000
2020-03-23,sz.000903,3.3900,3.5200,3.3100,3.3800,3.5600,66460400,226811620.3600,-5.056200
2020-03-24,sz.000903,3.4000,3.5800,3.3500,3.4800,3.3800,66336892,228985170.5800,2.958600
2020-03-25,sz.000903,3.5300,3.5800,3.4600,3.5600,3.4800,48507386,170798078.4400,2.298800
2020-03-26,sz.000903,3.5000,3.7900,3.4800,3.7400,3.5600,88296345,325221078.3600,5.056200
2020-03-27,sz.000903,3.7900,4.1100,3.5800,4.0100,3.7400,149452349,574698418.0800,7.219300
2020-03-30,sz.000903,3.7000,4.1100,3.6400,3.9100,4.0100,111483070,435495493.6200,-2.493800
2020-03-31,sz.000903,3.9200,4.3000,3.9000,4.3000,3.9100,184379117,787279615.1500,9.974400
2020-04-01,sz.000903,4.2900,4.4000,3.8700,3.8700,4.3000,191762499,798991752.7100,-10.000000
2020-04-02,sz.000903,4.2600,4.2600,4.2600,4.2600,3.8700,24474900,104263074.0000,10.077500
2020-04-03,sz.000903,4.6900,4.6900,4.6900,4.6900,4.2600,13871539,65057517.9100,10.093900
2020-04-07,sz.000903,5.1600,5.1600,5.1600,5.1600,4.6900,3967131,20470395.9600,10.021300
2020-04-08,sz.000903,5.6800,5.6800,5.5100,5.6800,5.1600,324366384,1840901496.6300,10.077500
