date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.399481,128.1400,128.1610,128.1300,128.1500,128.1400,7876371,795460624.0000,0.007804
2020-01-23,sz.399481,128.1500,128.1730,128.1380,128.1710,128.1500,2833774,288901984.0000,0.016387
2020-02-03,sz.399481,128.1690,128.1690,128.1570,128.1580,128.1710,4887160,490865760.0000,-0.010143
2020-02-04,sz.399481,128.1580,128.1690,128.1360,128.1680,128.1580,5686591,565291600.0000,0.007803
2020-02-05,sz.399481,128.1680,128.1760,128.1500,128.1750,128.1680,6586061,652925968.0000,0.005462
2020-02-06,sz.399481,128.1750,128.1870,128.1750,128.1870,128.1750,4365337,435209152.0000,0.009362
2020-02-07,sz.399481,128.1870,128.1940,128.1860,128.1930,128.1870,8691871,871442512.0000,0.004681
2020-02-10,sz.399481,128.1930,128.2100,128.1700,128.2100,128.1930,7462529,728600048.0000,0.013261
2020-02-11,sz.399481,128.2100,128.2190,128.2010,128.2180,128.2100,13600995,1308917232.0000,0.006240
2020-02-12,sz.399481,128.2180,128.2490,128.2180,128.2460,128.2180,6495506,630070112.0000,0.021838
2020-02-13,sz.399481,128.2460,128.2680,128.2450,128.2670,128.2460,7048040,666772864.0000,0.016375
2020-02-14,sz.399481,128.2670,128.2810,128.2600,128.2780,128.2670,11132082,1104879280.0000,0.008576
2020-02-17,sz.399481,128.2780,128.3010,128.2750,128.2980,128.2780,6567375,650068064.0000,0.015591
2020-02-18,sz.399481,128.2980,128.2990,128.2810,128.2870,128.2980,8588883,849490096.0000,-0.008574
2020-02-19,sz.399481,128.2870,128.2960,128.2800,128.2860,128.2870,5351239,529446608.0000,-0.000780
2020-02-20,sz.399481,128.2860,128.3020,128.2860,128.3010,128.2860,8809889,850978352.0000,0.011693
2020-02-21,sz.399481,128.3010,128.3270,128.3000,128.3260,128.3010,6731076,678901648.0000,0.019485
2020-02-24,sz.399481,128.3260,128.3260,128.3150,128.3240,128.3260,12271532,1149497568.0000,-0.001559
2020-02-25,sz.399481,128.3240,128.3310,128.3180,128.3300,128.3240,7000713,692815488.0000,0.004676
2020-02-26,sz.399481,128.3300,128.3370,128.3280,128.3360,128.3300,8594979,849179472.0000,0.004675
2020-02-27,sz.399481,128.3360,128.3490,128.3360,128.3480,128.3360,6590115,634007520.0000,0.009350
2020-02-28,sz.399481,128.3480,128.3750,128.3480,128.3710,128.3480,9732664,947369440.0000,0.017920
2020-03-02,sz.399481,128.3710,128.4000,128.3710,128.3900,128.3710,17261040,1694671024.0000,0.014801
2020-03-03,sz.399481,128.3900,128.3990,128.3820,128.3970,128.3900,13946542,1386973104.0000,0.005452
2020-03-04,sz.399481,128.3970,128.4170,128.3970,128.4170,128.3970,12445003,1222449920.0000,0.015577
2020-03-05,sz.399481,128.4170,128.4530,128.4170,128.4520,128.4170,12378921,1228251632.0000,0.027255
2020-03-06,sz.399481,128.4520,128.4750,128.4510,128.4730,128.4520,11625049,1164088816.0000,0.016349
2020-03-09,sz.399481,128.4735,128.4997,128.4693,128.4985,128.4736,12385379,1264586138.7100,0.019381
2020-03-10,sz.399481,128.4990,128.5369,128.4981,128.5346,128.4985,8275657,820742571.4100,0.028094
2020-03-11,sz.399481,128.5351,128.5406,128.5338,128.5398,128.5346,6088236,599201655.8900,0.004046
2020-03-12,sz.399481,128.5398,128.5606,128.5362,128.5591,128.5398,6635950,655653444.0700,0.015015
2020-03-13,sz.399481,128.5589,128.5589,128.5492,128.5536,128.5606,11866103,1165017029.5600,-0.005445
2020-03-16,sz.399481,128.5530,128.5593,128.5457,128.5584,128.5536,3881091,373869429.8400,0.003734
2020-03-17,sz.399481,128.5580,128.5616,128.5398,128.5580,128.5584,6556466,667089933.2000,-0.000311
2020-03-18,sz.399481,128.5580,128.5721,128.5547,128.5703,128.5581,6291142,622427152.9700,0.009490
2020-03-19,sz.399481,128.5701,128.5720,128.5495,128.5529,128.5701,6843132,667030902.8900,-0.013378
2020-03-20,sz.399481,128.5529,128.5801,128.5529,128.5781,128.5529,9002597,898893413.5800,0.019603
2020-03-23,sz.399481,128.5781,128.5788,128.5671,128.5746,128.5781,10233442,997727048.5530,-0.002722
2020-03-24,sz.399481,128.5741,128.5872,128.5700,128.5700,128.5746,7860593,766425374.8300,-0.003578
2020-03-25,sz.399481,128.5700,128.5850,128.5690,128.5847,128.5700,5518786,551846294.1200,0.011433
2020-03-26,sz.399481,128.5847,128.5884,128.5784,128.5866,128.5847,6194629,609577620.4800,0.001478
2020-03-27,sz.399481,128.5866,128.6032,128.5863,128.6023,128.5866,9378077,917946535.7100,0.012210
2020-03-30,sz.399481,128.6023,128.6031,128.5913,128.5940,128.6023,6063230,577662619.8900,-0.006454
2020-03-31,sz.399481,128.5940,128.6109,128.5940,128.6101,128.5940,4996229,492235743.7500,0.012520
2020-04-01,sz.399481,128.6101,128.6232,128.6097,128.6216,128.6101,9041240,890568311.5290,0.008942
2020-04-02,sz.399481,128.6216,128.6250,128.6121,128.6243,128.6216,10580009,1049026230.5200,0.002099
2020-04-03,sz.399481,128.6243,128.6265,128.6093,128.6153,128.6243,7087821,711892205.1210,-0.006997
2020-04-07,sz.399481,128.6153,128.6291,128.6152,128.6262,128.6153,10352606,1035068763.1340,0.008475
2020-04-08,sz.399481,128.6261,128.6553,128.6260,128.6516,128.6262,32490832,3279257591.6000,0.019747
