date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.000058,7.7000,7.7000,7.3500,7.6000,7.7800,14097800,106563712.0000,-2.313600
2020-01-23,sz.000058,7.5000,7.6600,7.1500,7.2600,7.6000,15913069,117374397.1000,-4.473700
2020-02-03,sz.000058,6.5300,6.5300,6.5300,6.5300,7.2600,1058000,6908740.0000,-10.055100
2020-02-04,sz.000058,5.8800,6.2200,5.8800,6.0700,6.5300,25395550,153972679.9700,-7.044400
2020-02-05,sz.000058,6.1200,6.3300,6.0500,6.2000,6.0700,19119234,118529064.2000,2.141700
2020-02-06,sz.000058,6.1600,6.3700,6.1000,6.3100,6.2000,19226261,120347568.6000,1.774200
2020-02-07,sz.000058,6.3600,6.3800,6.1700,6.3500,6.3100,20035230,125795673.2500,0.633900
2020-02-10,sz.000058,6.3000,6.4900,6.2400,6.4900,6.3500,18455018,118284044.5800,2.204700
2020-02-11,sz.000058,6.5300,6.6300,6.4400,6.5400,6.4900,19375601,126770383.9400,0.770400
2020-02-12,sz.000058,6.5400,7.1900,6.5400,7.1900,6.5400,44616680,316767847.2800,9.938800
2020-02-13,sz.000058,7.1500,7.1700,6.8200,6.8200,7.1900,45977759,319969111.9200,-5.146000
2020-02-14,sz.000058,6.8300,6.9100,6.6500,6.7700,6.8200,20803400,140793570.5200,-0.733100
2020-02-17,sz.000058,6.7700,7.0800,6.7500,6.9900,6.7700,24689586,171358701.8400,3.249600
2020-02-18,sz.000058,6.9900,7.1500,6.9400,7.1100,6.9900,25605295,180783232.8500,1.716700
2020-02-19,sz.000058,7.1600,7.1600,6.9400,6.9600,7.1100,19952799,139845347.1700,-2.109700
2020-02-20,sz.000058,6.9600,7.1200,6.8600,7.1100,6.9600,21921647,153741835.5100,2.155200
2020-02-21,sz.000058,7.1100,7.5000,7.0700,7.3000,7.1100,31566445,229909023.6000,2.672300
2020-02-24,sz.000058,7.3000,7.4000,7.1500,7.3500,7.3000,25808600,187519588.0000,0.684900
2020-02-25,sz.000058,7.1000,7.2600,6.9300,7.1900,7.3500,26289633,187212341.7800,-2.176900
2020-02-26,sz.000058,7.1200,7.1700,6.9300,6.9800,7.1900,20346013,143732066.5300,-2.920700
2020-02-27,sz.000058,6.9800,7.0500,6.9000,6.9500,6.9800,12246400,85347786.0000,-0.429800
2020-02-28,sz.000058,6.7600,6.7700,6.3600,6.3800,6.9500,19952722,130725382.6100,-8.201400
2020-03-02,sz.000058,6.4300,6.7100,6.4300,6.6900,6.3800,9901490,65529604.9000,4.858900
2020-03-03,sz.000058,6.8300,6.9500,6.7200,6.9500,6.6900,15996290,109410277.9000,3.886400
2020-03-04,sz.000058,6.8700,7.1600,6.8100,7.0700,6.9500,19390094,135938160.7800,1.726600
2020-03-05,sz.000058,7.1000,7.2500,7.0100,7.1800,7.0700,22778661,162372926.1700,1.555900
2020-03-06,sz.000058,7.0800,7.1700,7.0100,7.0800,7.1800,14082290,99676739.7000,-1.392800
2020-03-09,sz.000058,6.9500,7.1700,6.8000,6.8300,7.0800,16781334,117491625.6300,-3.531100
2020-03-10,sz.000058,6.6300,6.9700,6.5200,6.9600,6.8300,16100126,108295730.0900,1.903400
2020-03-11,sz.000058,6.9500,7.1900,6.9500,6.9800,6.9600,19075701,134993102.9900,0.287400
2020-03-12,sz.000058,6.8000,6.8500,6.6200,6.6800,6.9800,13284536,89457405.6800,-4.298000
2020-03-13,sz.000058,6.2700,6.5500,6.2000,6.5000,6.6800,16071635,101970866.5500,-2.694600
2020-03-16,sz.000058,6.6200,6.7400,6.3000,6.3200,6.5000,13235610,86560234.2000,-2.769200
2020-03-17,sz.000058,6.4000,6.4800,6.1100,6.3400,6.3200,10760200,67542844.0000,0.316500
2020-03-18,sz.000058,6.3800,6.4500,6.1900,6.2000,6.3400,9748688,61762184.0000,-2.208200
2020-03-19,sz.000058,6.2200,6.2900,6.0900,6.2400,6.2000,8446309,52315473.8000,0.645200
2020-03-20,sz.000058,6.2700,6.4500,6.1300,6.4000,6.2400,12556734,78937150.9200,2.564100
2020-03-23,sz.000058,6.2200,6.2800,6.1000,6.1100,6.4000,8216062,50877249.7900,-4.531200
2020-03-24,sz.000058,6.2000,6.2800,6.1200,6.2100,6.1100,6129654,37964061.2700,1.636700
2020-03-25,sz.000058,6.3200,6.4500,6.2600,6.4200,6.2100,10287990,65361795.2500,3.381600
2020-03-26,sz.000058,6.3500,6.4200,6.2400,6.2400,6.4200,6508000,41176836.0000,-2.803700
2020-03-27,sz.000058,6.3200,6.3700,6.2300,6.2400,6.2400,4314301,27107447.1900,0.000000
2020-03-30,sz.000058,6.1800,6.2800,6.0400,6.1700,6.2400,6823600,41888536.0000,-1.121800
2020-03-31,sz.000058,6.2300,6.2300,6.1200,6.1500,6.1700,4051800,25009242.0000,-0.324100
2020-04-01,sz.000058,6.1300,6.2100,6.0900,6.1200,6.1500,3717313,22845162.8200,-0.487800
2020-04-02,sz.000058,6.0500,6.4000,6.0300,6.3300,6.1200,9951668,62081585.9800,3.431400
2020-04-03,sz.000058,6.3300,6.9600,6.3000,6.9600,6.3300,55065562,375035690.0000,9.952600
2020-04-07,sz.000058,6.9600,7.4000,6.8200,7.2000,6.9600,60388863,427745216.3400,3.448300
2020-04-08,sz.000058,6.9500,7.0700,6.8400,6.9800,7.2000,31414555,218075780.4000,-3.055600
