date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.399299,188.3330,188.3590,188.3120,188.3590,188.3010,407063,40785587.0000,0.030802
2020-01-23,sz.399299,188.3920,188.7310,188.3920,188.7310,188.3590,246860,24428915.0000,0.197495
2020-02-03,sz.399299,189.0840,189.1440,189.0260,189.1280,188.7310,412300,38570132.0000,0.210352
2020-02-04,sz.399299,189.1600,189.1600,189.1410,189.1560,189.1280,243750,22905747.0000,0.014805
2020-02-05,sz.399299,189.1880,189.1880,189.0300,189.0320,189.1560,369214,34949769.0000,-0.065554
2020-02-06,sz.399299,189.0640,189.1120,189.0640,189.1030,189.0320,236030,21269969.0000,0.037560
2020-02-07,sz.399299,189.1350,189.1350,189.0630,189.0770,189.1030,641140,63021533.0000,-0.013749
2020-02-10,sz.399299,189.1740,189.2080,189.1740,189.1810,189.0770,2294764,225488762.0000,0.055004
2020-02-11,sz.399299,189.2130,189.2480,189.2130,189.2360,189.1810,1452850,141030015.0000,0.029073
2020-02-12,sz.399299,189.2680,189.3090,189.2670,189.2980,189.2360,808860,79933672.0000,0.032763
2020-02-13,sz.399299,189.3300,189.3730,189.3240,189.3300,189.2980,371650,34442998.0000,0.016905
2020-02-14,sz.399299,189.3620,189.3740,189.3510,189.3660,189.3300,286350,26922313.0000,0.019014
2020-02-17,sz.399299,189.4630,189.4960,189.3840,189.4810,189.3660,1053150,101304408.0000,0.060729
2020-02-18,sz.399299,189.5140,189.5140,189.4990,189.5120,189.4810,724490,67910721.0000,0.016360
2020-02-19,sz.399299,189.5440,189.5470,189.5240,189.5260,189.5120,1671475,166404242.0000,0.007387
2020-02-20,sz.399299,189.5580,189.6220,189.5440,189.6220,189.5260,1514560,147145260.0000,0.050653
2020-02-21,sz.399299,189.6540,189.6540,189.5740,189.6090,189.6220,1669474,156756723.0000,-0.006856
2020-02-24,sz.399299,189.7060,189.7060,189.3900,189.4480,189.6090,269150,22761274.0000,-0.084912
2020-02-25,sz.399299,189.4800,189.4810,189.3120,189.3680,189.4480,765759,73750993.0000,-0.042228
2020-02-26,sz.399299,189.4000,189.4000,189.3460,189.3930,189.3680,353760,32064940.0000,0.013202
2020-02-27,sz.399299,189.4250,189.4900,189.3960,189.4900,189.3930,1677210,162132403.0000,0.051216
2020-02-28,sz.399299,189.5220,189.5600,189.5030,189.5600,189.4900,1604250,154657045.0000,0.036941
2020-03-02,sz.399299,189.6240,189.6310,189.6010,189.6030,189.5600,1267216,115853416.0000,0.022684
2020-03-03,sz.399299,189.6350,189.6570,189.5930,189.6140,189.6030,703820,64030855.0000,0.005802
2020-03-04,sz.399299,189.6460,189.6630,189.6420,189.6500,189.6140,618336,57166164.0000,0.018986
2020-03-05,sz.399299,189.6840,189.6840,189.6010,189.6730,189.6500,450264,42574980.0000,0.012128
2020-03-06,sz.399299,189.7050,189.7080,189.6180,189.7070,189.6730,857474,80262570.0000,0.017926
2020-03-09,sz.399299,189.8045,189.8045,189.6649,189.7151,189.7079,1177660,106601098.3100,0.003795
2020-03-10,sz.399299,189.7473,190.0274,189.7473,190.0232,189.7151,530590,51397837.9800,0.162401
2020-03-11,sz.399299,190.0555,190.0555,189.8833,189.9692,190.0232,605820,54794467.0500,-0.028418
2020-03-12,sz.399299,190.0015,190.0514,189.9534,189.9672,189.9692,270680,26743734.3800,-0.001053
2020-03-13,sz.399299,189.9995,190.1605,189.9903,190.0123,189.9673,397870,39009132.9100,0.023688
2020-03-16,sz.399299,190.1092,190.1357,190.1092,190.1357,190.0123,260960,25548504.6600,0.064943
2020-03-17,sz.399299,190.1680,190.1744,190.0984,190.1033,190.1357,426460,41356574.2000,-0.017040
2020-03-18,sz.399299,190.1356,190.2975,190.1356,190.2693,190.1033,280580,25703247.6300,0.087321
2020-03-19,sz.399299,190.3103,190.3103,190.1370,190.2601,190.2780,817129,81764340.3900,-0.009407
2020-03-20,sz.399299,190.2924,190.3128,190.2651,190.3111,190.2601,362100,35100722.0800,0.026805
2020-03-23,sz.399299,190.4081,190.4083,190.3573,190.3796,190.3111,910439,89967929.6730,0.035994
2020-03-24,sz.399299,190.4120,190.4322,190.4120,190.4203,190.3796,320640,31316469.6000,0.021378
2020-03-25,sz.399299,190.4527,190.7170,190.4413,190.7100,190.4203,211200,21165974.0000,0.152137
2020-03-26,sz.399299,190.7424,190.7709,190.7424,190.7619,190.7100,157830,15088973.4000,0.027214
2020-03-27,sz.399299,190.7944,190.8931,190.7944,190.8582,190.7619,280390,27486613.6900,0.050482
2020-03-30,sz.399299,190.9556,191.0093,190.9417,190.9548,190.8582,111040,10582928.8900,0.050613
2020-03-31,sz.399299,190.9873,191.0183,190.9864,191.0157,190.9548,392370,38267787.9900,0.031892
2020-04-01,sz.399299,191.0476,191.0666,191.0276,191.0345,191.0157,175870,16877035.5000,0.009842
2020-04-02,sz.399299,191.0664,191.2464,190.9264,191.0823,191.0345,512255,50201567.1200,0.025022
2020-04-03,sz.399299,191.1142,191.1149,191.0960,191.1042,191.0823,613040,61000631.9000,0.011461
2020-04-07,sz.399299,191.1747,191.1922,191.1669,191.1787,191.1042,595740,57285768.9900,0.038984
2020-04-08,sz.399299,191.2068,191.2189,191.2053,191.2189,191.1787,1199200,120306190.0000,0.021027
