date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-22,sz.399932,16070.0360,16143.1680,15801.9860,16101.5570,16164.8010,779396096,21398110464.0000,-0.391245
2020-01-23,sz.399932,16008.7020,16008.7020,15323.2270,15440.8280,16101.5570,986750096,28845770496.0000,-4.103510
2020-02-03,sz.399932,14005.9020,14310.5660,14004.7160,14228.6760,15440.8280,902489904,31862177792.0000,-7.850304
2020-02-04,sz.399932,14072.0230,14611.2350,14072.0230,14610.3980,14228.6760,1405878096,38704331264.0000,2.682765
2020-02-05,sz.399932,14727.0770,14906.6050,14584.3110,14845.2900,14610.3980,1258838800,30498783488.0000,1.607704
2020-02-06,sz.399932,14983.3210,15277.9180,14837.3870,15254.2980,14845.2900,1373525104,30518404864.0000,2.755136
2020-02-07,sz.399932,15187.2080,15407.4080,15049.0570,15381.3280,15254.2980,1078628400,25150105344.0000,0.832749
2020-02-10,sz.399932,15256.2260,15631.1510,15243.4880,15573.7860,15381.3280,1241065904,27179804160.0000,1.251244
2020-02-11,sz.399932,15591.2950,15805.6120,15548.2420,15714.0100,15573.7860,1407039296,29206545152.0000,0.900385
2020-02-12,sz.399932,15709.6270,15800.0810,15700.7220,15777.1580,15714.0100,1211315200,23242978560.0000,0.401858
2020-02-13,sz.399932,15818.2310,15885.1760,15656.0620,15682.9520,15777.1580,1523314800,27500440576.0000,-0.597104
2020-02-14,sz.399932,15672.0490,15835.1200,15627.1170,15822.5990,15682.9520,1360842000,26399893504.0000,0.890438
2020-02-17,sz.399932,15838.4770,16055.9260,15838.4770,16055.3910,15822.5990,1573964096,30045982464.0000,1.471263
2020-02-18,sz.399932,15981.1870,16009.0200,15884.5090,15980.0730,16055.3910,1297636096,24586405376.0000,-0.469113
2020-02-19,sz.399932,15984.9680,16291.7850,15972.8690,16165.0200,15980.0730,1197476496,30190040576.0000,1.157360
2020-02-20,sz.399932,16234.7360,16499.7930,16234.7360,16486.4400,16165.0200,1100631696,31160826624.0000,1.988367
2020-02-21,sz.399932,16412.6640,16497.7050,16320.7550,16398.9880,16486.4400,1017320704,24738778112.0000,-0.530448
2020-02-24,sz.399932,16287.7640,16322.8790,16081.4740,16237.8180,16398.9880,1331556608,29760326912.0000,-0.982805
2020-02-25,sz.399932,15993.5630,16216.5600,15895.5610,16201.3600,16237.8180,1234942000,30831014912.0000,-0.224525
2020-02-26,sz.399932,16047.3260,16266.5120,16028.0330,16082.2690,16201.3600,1578197200,31156928768.0000,-0.735068
2020-02-27,sz.399932,16123.5140,16387.6200,16109.7750,16282.4630,16082.2690,1215767600,28588908032.0000,1.244812
2020-02-28,sz.399932,15895.8590,16061.2350,15581.6620,15660.1750,16282.4630,1370053696,32866893824.0000,-3.821830
2020-03-02,sz.399932,15658.0490,16181.6000,15658.0490,16095.6120,15660.1750,1105556208,30014553856.0000,2.780537
2020-03-03,sz.399932,16265.3010,16381.6680,16211.1170,16279.9840,16095.6120,1277457200,31220572160.0000,1.145480
2020-03-04,sz.399932,16240.8940,16535.1600,16240.6550,16530.9320,16279.9840,1422057696,32378790400.0000,1.541451
2020-03-05,sz.399932,16636.6230,17372.4960,16587.1250,17247.0920,16530.9320,1831335504,51108125696.0000,4.332242
2020-03-06,sz.399932,17086.3200,17366.5310,16935.5080,16976.3120,17247.0920,1767113600,36656975104.0000,-1.570004
2020-03-09,sz.399932,16696.2334,16773.0667,16493.7429,16496.8701,16976.3137,1622913000,37425164966.7000,-2.824191
2020-03-10,sz.399932,16413.7451,16852.5944,16237.9782,16791.8592,16496.8701,1408205000,36429620827.3000,1.788152
2020-03-11,sz.399932,16836.0871,17025.5301,16686.2449,16732.3839,16791.8592,1312292100,30911534246.8000,-0.354191
2020-03-12,sz.399932,16464.9459,16502.9373,16179.8209,16264.5138,16732.3839,1083158000,27542532684.0000,-2.796195
2020-03-13,sz.399932,15515.7275,16211.7170,15487.6799,16054.5991,16262.7786,1238675200,34231124672.8000,-1.280098
2020-03-16,sz.399932,16016.7526,16036.2626,15257.0131,15345.7259,16054.5991,1176615500,31252697740.9000,-4.415390
2020-03-17,sz.399932,15362.8580,15582.0824,14719.8373,15196.7193,15345.7259,1046311400,31373840109.4000,-0.970997
2020-03-18,sz.399932,15283.1603,15722.1630,15043.4230,15078.4361,15211.5778,1173662400,33533770368.6000,-0.875266
2020-03-19,sz.399932,15011.5951,15152.4769,14477.7247,14897.3881,15062.9354,1215259900,37762177185.9000,-1.099037
2020-03-20,sz.399932,15049.4137,15299.8101,14925.1678,15226.5512,14897.3881,1000316400,28917716894.6000,2.209536
2020-03-23,sz.399932,14726.7366,14980.8490,14661.4935,14818.4612,15226.5512,1235950800,27253816063.5000,-2.680121
2020-03-24,sz.399932,15121.9639,15326.8503,14982.2100,15319.1780,14818.4612,1289061000,28843315655.3000,3.379007
2020-03-25,sz.399932,15703.1171,15725.7570,15508.6688,15661.1885,15319.1780,1540732100,30661608947.8000,2.232564
